id,brand,model,socket,cores,threads,base_clock,boost_clock,tdp,base_perf,price_usd,price_idr
cpu1,Intel,Core i5-12400F,LGA1700,6,12,2.5,4.4,65,100,180,1999000
cpu2,Intel,Core i5-12600K,LGA1700,10,16,3.7,4.9,125,120,290,2950000
cpu3,Intel,Core i7-12700K,LGA1700,12,20,3.6,5,125,140,380,4100000
cpu4,Intel,Core i7-13700K,LGA1700,16,24,3.4,5.4,125,160,420,5200000
cpu5,Intel,Core i9-13900K,LGA1700,24,32,3,5.8,125,200,620,7300000
cpu6,Intel,Core i9-14900K,LGA1700,24,32,3.2,6,125,210,680,8800000
cpu7,AMD,Ryzen 5 5600X,AM4,6,12,3.7,4.6,65,100,190,1950000
cpu8,AMD,Ryzen 7 5800X,AM4,8,16,3.8,4.7,105,120,320,2900000
cpu9,AMD,Ryzen 7 7800X3D,AM5,8,16,4.2,5,120,180,420,7200000
cpu10,AMD,Ryzen 9 7900X,AM5,12,24,4.7,5.6,170,200,550,6500000
cpu11,AMD,Ryzen 9 7950X,AM5,16,32,4.5,5.7,170,240,700,8900000
